KOD,MESTO
588318,Bìlov
585076,Biskupice
557102,Bohuslavice nad Vláøí
585092,Bohuslavice u Zlína
585106,Bratøejov
585114,Brumov-Bylnice
538744,Bøeznice
585131,Bøezová
585149,Bøezùvky
585157,Dešná
585165,Dobrkovice
585173,Dolní Lhota
585181,Doubravy
585190,Drnovice
585203,Držková
585211,Fryšták
585220,Halenkovice
585238,Haluzice
585246,Horní Lhota
585254,Hostišová
585262,Hrobice
585271,Høivínùv Újezd
585289,Hvozdná
585301,Jasenná
585319,Jestøabí
585327,Kaòovice
587052,Karlovice
585343,Kašava
592251,Kelníky
549436,Komárov
KOD,MESTO
588318,Bìlov
585076,Biskupice
557102,Bohuslavice nad Vláøí
585092,Bohuslavice u Zlína
585106,Bratøejov
585114,Brumov-Bylnice
538744,Bøeznice
585131,Bøezová
585149,Bøezùvky
585157,Dešná
585165,Dobrkovice
585173,Dolní Lhota
585181,Doubravy
585190,Drnovice
585203,Držková
585211,Fryšták
585220,Halenkovice
585238,Haluzice
585246,Horní Lhota
585254,Hostišová
585262,Hrobice
585271,Høivínùv Újezd
585289,Hvozdná
585301,Jasenná
585319,Jestøabí
585327,Kaòovice
587052,Karlovice
585343,Kašava
592251,Kelníky
549436,Komárov
KOD,MESTO
588318,Bìlov
585076,Biskupice
557102,Bohuslavice nad Vláøí
585092,Bohuslavice u Zlína
585106,Bratøejov
585114,Brumov-Bylnice
538744,Bøeznice
585131,Bøezová
585149,Bøezùvky
585157,Dešná
585165,Dobrkovice
585173,Dolní Lhota
585181,Doubravy
585190,Drnovice
585203,Držková
585211,Fryšták
585220,Halenkovice
585238,Haluzice
585246,Horní Lhota
585254,Hostišová
585262,Hrobice
585271,Høivínùv Újezd
585289,Hvozdná
585301,Jasenná
585319,Jestøabí
585327,Kaòovice
587052,Karlovice
585343,Kašava
592251,Kelníky
549436,Komárov
KOD,MESTO
588318,Bìlov
585076,Biskupice
557102,Bohuslavice nad Vláøí
585092,Bohuslavice u Zlína
585106,Bratøejov
585114,Brumov-Bylnice
538744,Bøeznice
585131,Bøezová
585149,Bøezùvky
585157,Dešná
585165,Dobrkovice
585173,Dolní Lhota
585181,Doubravy
585190,Drnovice
585203,Držková
585211,Fryšták
585220,Halenkovice
585238,Haluzice
585246,Horní Lhota
585254,Hostišová
585262,Hrobice
585271,Høivínùv Újezd
585289,Hvozdná
585301,Jasenná
585319,Jestøabí
585327,Kaòovice
587052,Karlovice
585343,Kašava
592251,Kelníky
549436,Komárov
